#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B99F94
#Date Time: 2023-11-06 17:02:37.021
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1000
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.24727 V
#Offset: -0.000166832 V
#Relative: no
#Channel: Channel 2
#Range: 5.25682 V
#Offset: 0.000282532 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.00624155 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.997803377 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
162.2595287078089,-0.03058118487787312,10.40986266066648,-109.2174013681054
163.3853877809862,-0.03486061135022801,10.46517574063219,-109.3372301463482
164.5190587753664,-0.03448246292806481,10.51797780399953,-109.4576611001793
165.6605958949915,-0.0348926047442126,10.57320234693967,-109.5785418485761
166.8100537200061,-0.03317528997650246,10.62389165604178,-109.6931582071232
167.9674872092655,-0.03451158090323924,10.67848637868384,-109.8055092695692
169.132951702965,-0.0348964829129548,10.73124460495389,-109.9411938900406
170.3065029252846,-0.03414775811111935,10.78287427458277,-110.0560178133131
171.4881969870541,-0.03519421692619763,10.83570241050431,-110.1762170930578
172.6780903884358,-0.03372043868380228,10.88858584072483,-110.3217589855634
173.8762400216252,-0.03557735406222118,10.94233416125185,-110.4406465637383
175.0827031735727,-0.03548639909884684,10.99539814500553,-110.5677022815932
176.2975375287207,-0.03840050752908711,11.04947076796731,-110.679753747552
177.5208011717636,-0.03769567951882934,11.1010167372401,-110.8097885287401
178.7525525904237,-0.03701110385962491,11.15377541962094,-110.9515014043233
179.9928506782478,-0.03920595291889251,11.20630219916585,-111.0839636077926
181.2417547374239,-0.03895741370454116,11.25654753602525,-111.2014384943561
182.4993244816154,-0.03898979246216633,11.30942763386144,-111.3351964872663
183.7656200388172,-0.04059697753809313,11.36169689776088,-111.4556483567782
185.0407019542304,-0.03761022255043289,11.41477067238098,-111.6248998527459
186.3246311931562,-0.0351138894455344,11.46444560284321,-111.7755197352493
187.6174691439123,-0.03408328132065142,11.51628993226845,-111.9281961823547
188.9192776207668,-0.03536832652287628,11.56742681499309,-112.0704825713716
190.2301188668946,-0.03474704655822335,11.61886394279198,-112.2016481158396
191.550055557353,-0.03616617466848658,11.67163525481756,-112.3393182712573
192.879150802078,-0.03581564958708939,11.72329319085239,-112.4905906229505
194.2174681489028,-0.03599099015209212,11.772582651651,-112.6280452143299
195.5650715865951,-0.03749217859958564,11.82455247004814,-112.7652492748459
196.9220255479174,-0.03808575805082476,11.87566797359556,-112.9097398143136
198.2883949127073,-0.03692499480191951,11.92563040966497,-113.0703324404934
199.6642450109795,-0.03774226103329759,11.97764624308007,-113.2093209137516
